Planet Name,Parallax,Number of Photometric Measurements,Number of Spectroscopic Measurements,Right Ascension,Declination,Galactic Longitude,Star Age Limit,Cluster
KOI-142 c,-0.3086303039990655,-0.4634911284070809,-0.2721781592978959,0.5363054285292489,0.4610714379834592,-0.5446256253561599,0.0,0
Kepler-338 d,-0.6460067231117114,-0.4634911284070809,-0.2721781592978959,0.3484888041898978,0.466612701413529,-0.5937635485404698,0.0,0
Kepler-1130 b,0.0961130149793143,-0.4634911284070809,-0.2721781592978959,0.3975300252958728,0.7025049107252319,-0.4927924503736028,0.0,0
KOI-351 d,-0.9493789789308756,-0.4634911284070809,-0.2721781592978959,0.3803162663679049,0.9260777431228764,-0.4234281814950523,0.0,0
Kepler-197 c,-0.1829338701880611,-0.4634911284070809,-0.2721781592978959,0.6385399772846796,1.0020801722446555,-0.3504875947521739,0.0,0
TOI-1820 b,0.0996913434313829,-0.4634911284070809,-0.2721781592978959,-0.8901821886438337,-0.0774922595104889,0.9971154384909068,0.0,1
Kepler-129 c,-0.3845764041016796,-0.4634911284070809,-0.2721781592978959,0.3998527413965144,0.8405507774160541,-0.4463939546623529,0.0,0
Kepler-129 d,-0.3845764041016796,-0.4634911284070809,-0.2721781592978959,0.3998527413965144,0.8405507774160541,-0.4463939546623529,0.0,0
Kepler-1710 b,-0.1047732245924756,-0.4634911284070809,-0.2721781592978959,0.5493940208277946,0.3261102349804602,-0.5941813556100183,0.0,0
Kepler-1130 d,0.0961130149793143,-0.4634911284070809,-0.2721781592978959,0.3975300252958728,0.7025049107252319,-0.4927924503736028,0.0,0
Kepler-454 c,0.1731396390620979,-0.4634911284070809,-0.2721781592978959,0.449187289663872,0.3474793435254824,-0.6150304569816323,0.0,0
Kepler-10 b,0.3907978556930885,-0.4634911284070809,-0.2721781592978959,0.4081215210384974,0.98261517075182,-0.4010234431439914,0.0,0
Kepler-102 b,0.892704992417841,-0.4634911284070809,-0.2721781592978959,0.3164273124341579,0.8038623982323687,-0.4757109591316026,0.0,0
Kepler-103 b,-0.5541683189100925,-0.4634911284070809,-0.2721781592978959,0.4843886331756959,0.4322063581766984,-0.5701791164036771,0.0,0
Kepler-109 c,-0.5187272880364963,-0.4634911284070809,-0.2721781592978959,0.5179973124531733,0.4426693741978694,-0.5567145401797611,0.0,0
Kepler-454 b,0.1731396390620979,-0.4634911284070809,-0.2721781592978959,0.449187289663872,0.3474793435254824,-0.6150304569816323,0.0,0
